Location,CellStrength,BSSID,SSID,RSSI,LinkSpeed
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-85,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-85,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-91,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-84,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-93,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-78,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-83,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-83,108
Bellomy Field,-94,7c:0e:ce:8e:1f:8e,"SCU-Student",-83,108
Bellomy Field,-95,7c:0e:ce:8e:1f:8e,"SCU-Student",-83,108
